EMA_Fast,SMA_Slow,SL_ATR_Mult,RR,PF_IS,PF_OOS,WF_ratio,DD_IS%,DD_OOS%,NetReturn_IS%,NetReturn_OOS%,Trades_IS,Trades_OOS,pasa_WF,pasa_DD,pasa_trades,pasa_OOS_pos,pasa_DD_real,VALIDADO
3,21,0.5,1.5,1.065,1.004,0.943,21.0,35.8,121.8,2.1,4480,1606,True,True,True,True,False,False
3,21,0.5,2.0,1.217,1.158,0.952,10.4,17.5,445.4,92.8,4463,1588,True,True,True,True,False,False
3,21,0.5,3.0,1.366,1.311,0.96,6.7,12.3,809.9,200.9,4438,1581,True,True,True,True,True,True
3,21,1.0,1.5,1.085,0.896,0.826,26.8,71.6,231.1,-48.7,4231,1513,False,False,True,False,False,False
3,21,1.0,2.0,1.213,1.053,0.868,13.7,28.6,636.9,29.5,4201,1506,True,False,True,True,False,False
3,21,1.0,3.0,1.335,1.193,0.894,11.4,16.9,1053.7,126.7,4190,1501,True,True,True,True,False,False
3,21,1.5,1.5,1.16,1.009,0.87,23.2,24.6,415.0,3.9,3897,1419,True,True,True,True,False,False
3,21,1.5,2.0,1.238,1.042,0.842,21.0,22.9,693.2,20.0,3879,1415,False,True,True,True,False,False
3,21,1.5,3.0,1.302,1.111,0.853,16.7,19.0,944.6,55.9,3869,1411,True,True,True,True,False,False
3,34,0.5,1.5,0.976,0.997,1.022,46.3,49.3,-30.1,-0.9,3278,1158,True,True,True,False,False,False
3,34,0.5,2.0,1.102,1.122,1.018,21.9,22.0,150.1,49.0,3272,1154,True,True,True,True,False,False
3,34,0.5,3.0,1.273,1.313,1.031,11.6,13.5,443.0,142.3,3261,1149,True,True,True,True,True,True
3,34,1.0,1.5,1.041,1.063,1.021,40.4,24.2,63.8,24.2,3132,1132,True,True,True,True,False,False
3,34,1.0,2.0,1.187,1.193,1.005,23.8,14.4,354.1,86.4,3116,1125,True,True,True,True,True,True
3,34,1.0,3.0,1.332,1.265,0.95,12.5,14.7,700.1,126.2,3106,1119,True,True,True,True,True,True
3,34,1.5,1.5,1.111,1.116,1.005,35.8,15.7,167.2,39.2,2909,1076,True,True,True,True,False,False
3,34,1.5,2.0,1.21,1.162,0.96,20.5,13.8,388.8,56.8,2893,1070,True,True,True,True,True,True
3,34,1.5,3.0,1.285,1.265,0.984,14.1,13.0,573.1,100.3,2881,1068,True,True,True,True,True,True
3,55,0.5,1.5,1.063,1.03,0.969,19.9,19.4,62.2,8.5,2457,894,True,True,True,True,False,False
3,55,0.5,2.0,1.217,1.162,0.955,11.5,13.1,238.7,51.4,2455,894,True,True,True,True,True,True
3,55,0.5,3.0,1.41,1.428,1.013,8.4,12.7,494.5,151.7,2448,893,True,True,True,True,True,True
3,55,1.0,1.5,1.12,0.935,0.835,21.5,31.4,150.0,-19.0,2365,872,False,True,True,False,False,False
3,55,1.0,2.0,1.218,1.069,0.878,15.9,20.5,316.9,23.3,2358,869,True,True,True,True,False,False
3,55,1.0,3.0,1.395,1.182,0.847,11.7,14.9,636.9,68.5,2348,866,False,True,True,True,True,False
3,55,1.5,1.5,1.112,1.014,0.912,17.6,19.9,118.0,3.6,2228,824,True,True,True,True,False,False
3,55,1.5,2.0,1.218,1.085,0.891,13.4,14.6,283.5,23.6,2216,820,True,True,True,True,True,True
3,55,1.5,3.0,1.283,1.157,0.902,11.8,11.8,402.7,46.9,2207,819,True,True,True,True,True,True
5,21,0.5,1.5,1.002,0.993,0.991,40.9,42.6,2.9,-2.8,3725,1326,True,True,True,False,False,False
5,21,0.5,2.0,1.135,1.143,1.007,12.8,19.5,233.2,68.3,3716,1322,True,True,True,True,False,False
5,21,0.5,3.0,1.286,1.342,1.044,8.6,12.0,534.4,179.9,3704,1322,True,True,True,True,True,True
5,21,1.0,1.5,0.998,0.947,0.949,38.9,50.0,-4.0,-22.0,3607,1295,True,True,True,False,False,False
5,21,1.0,2.0,1.098,1.088,0.991,29.0,21.8,228.0,42.5,3596,1289,True,True,True,True,False,False
5,21,1.0,3.0,1.23,1.222,0.993,19.1,18.0,592.0,122.7,3590,1287,True,True,True,True,False,False
5,21,1.5,1.5,1.046,0.985,0.942,42.5,29.4,75.4,-5.5,3410,1245,True,True,True,False,False,False
5,21,1.5,2.0,1.119,1.056,0.944,23.9,19.0,245.5,22.8,3400,1243,True,True,True,True,False,False
5,21,1.5,3.0,1.193,1.099,0.921,18.9,19.2,462.2,41.5,3394,1241,True,True,True,True,False,False
5,34,0.5,1.5,0.994,1.024,1.03,53.5,34.6,-6.3,6.9,2658,954,True,True,True,True,False,False
5,34,0.5,2.0,1.116,1.223,1.096,22.4,15.2,139.5,74.1,2656,951,True,True,True,True,False,False
5,34,0.5,3.0,1.325,1.442,1.088,9.9,11.2,424.7,162.3,2656,948,True,True,True,True,True,True
5,34,1.0,1.5,1.004,1.081,1.077,38.8,18.7,4.7,26.0,2591,941,True,True,True,True,False,False
5,34,1.0,2.0,1.118,1.18,1.055,26.5,17.6,163.2,65.0,2586,939,True,True,True,True,False,False
5,34,1.0,3.0,1.254,1.293,1.031,15.4,15.4,422.2,114.9,2583,936,True,True,True,True,False,False
5,34,1.5,1.5,1.045,1.12,1.072,27.2,13.4,47.2,35.1,2474,912,True,True,True,True,True,True
5,34,1.5,2.0,1.135,1.184,1.043,23.2,11.0,174.0,57.1,2468,908,True,True,True,True,True,True
5,34,1.5,3.0,1.189,1.251,1.052,16.9,11.0,271.6,80.7,2459,906,True,True,True,True,True,True
5,55,0.5,1.5,1.026,1.026,1.0,20.6,19.3,19.5,5.8,1987,723,True,True,True,True,False,False
5,55,0.5,2.0,1.165,1.161,0.997,14.8,11.1,145.0,40.4,1983,722,True,True,True,True,True,True
5,55,0.5,3.0,1.336,1.388,1.039,9.0,8.2,329.3,109.6,1979,722,True,True,True,True,True,True
5,55,1.0,1.5,1.03,0.916,0.889,32.8,27.5,24.8,-19.8,1954,715,True,True,True,False,False,False
5,55,1.0,2.0,1.123,1.018,0.907,32.8,15.7,123.0,4.5,1949,714,True,True,True,True,False,False
5,55,1.0,3.0,1.299,1.112,0.856,19.4,11.3,376.3,31.2,1948,712,True,True,True,True,True,True
5,55,1.5,1.5,1.077,0.958,0.89,34.3,21.6,59.2,-8.6,1881,691,True,True,True,False,False,False
5,55,1.5,2.0,1.175,1.007,0.857,25.5,14.4,157.6,1.4,1877,691,True,True,True,True,True,True
5,55,1.5,3.0,1.238,1.083,0.875,23.9,9.7,240.3,18.9,1874,688,True,True,True,True,True,True
8,21,0.5,1.5,0.928,0.915,0.986,103.5,63.7,-93.2,-28.9,3370,1170,True,True,True,False,False,False
8,21,0.5,2.0,1.077,1.013,0.941,17.9,46.5,119.8,5.3,3360,1169,True,False,True,True,False,False
8,21,0.5,3.0,1.232,1.241,1.007,12.7,19.5,396.7,111.4,3353,1168,True,True,True,True,False,False
8,21,1.0,1.5,0.97,0.813,0.838,57.8,69.2,-47.7,-59.5,3282,1149,False,True,True,False,False,False
8,21,1.0,2.0,1.073,0.955,0.89,31.4,41.0,146.2,-16.8,3272,1149,True,True,True,False,False,False
8,21,1.0,3.0,1.172,1.023,0.873,23.1,37.9,390.1,9.6,3266,1149,True,True,True,True,False,False
8,21,1.5,1.5,1.017,0.91,0.895,31.4,39.8,24.6,-28.1,3132,1117,True,True,True,False,False,False
8,21,1.5,2.0,1.073,0.923,0.86,19.6,41.0,119.7,-24.2,3122,1114,True,False,True,False,False,False
8,21,1.5,3.0,1.146,0.99,0.864,16.9,33.3,299.0,-3.3,3118,1113,True,True,True,False,False,False
8,34,0.5,1.5,0.938,1.114,1.188,61.1,14.5,-50.9,30.1,2292,817,True,True,True,True,True,True
8,34,0.5,2.0,1.07,1.263,1.18,20.9,8.8,70.2,77.4,2288,816,True,True,True,True,True,True
8,34,0.5,3.0,1.238,1.491,1.204,10.1,5.6,272.8,158.2,2285,815,True,True,True,True,True,True
8,34,1.0,1.5,0.947,1.104,1.166,53.5,10.0,-46.5,31.0,2247,801,True,True,True,True,True,True
8,34,1.0,2.0,1.033,1.219,1.18,26.1,9.4,34.2,71.6,2245,798,True,True,True,True,True,True
8,34,1.0,3.0,1.158,1.297,1.12,19.2,9.4,213.0,102.3,2242,798,True,True,True,True,True,True
8,34,1.5,1.5,1.016,1.155,1.137,36.6,8.1,12.3,40.5,2171,784,True,True,True,True,True,True
8,34,1.5,2.0,1.09,1.203,1.104,29.1,7.8,81.3,55.1,2166,783,True,True,True,True,True,True
8,34,1.5,3.0,1.146,1.238,1.08,28.8,7.6,146.0,66.9,2164,782,True,True,True,True,True,True
8,55,0.5,1.5,0.939,0.915,0.974,51.0,24.9,-35.1,-15.8,1649,604,True,True,True,False,False,False
8,55,0.5,2.0,1.067,1.058,0.992,23.5,13.1,45.9,12.1,1649,603,True,True,True,True,True,True
8,55,0.5,3.0,1.304,1.269,0.973,13.7,9.9,241.6,62.0,1648,603,True,True,True,True,True,True
8,55,1.0,1.5,0.999,0.963,0.964,39.7,19.6,-0.3,-7.3,1639,598,True,True,True,False,False,False
8,55,1.0,2.0,1.087,1.097,1.009,24.0,13.5,60.2,20.6,1635,597,True,True,True,True,True,True
8,55,1.0,3.0,1.232,1.198,0.972,16.0,11.6,207.9,44.6,1635,596,True,True,True,True,True,True
8,55,1.5,1.5,1.001,0.931,0.93,24.5,23.6,0.4,-11.4,1602,586,True,True,True,False,False,False
8,55,1.5,2.0,1.105,1.012,0.916,15.6,18.4,65.6,2.1,1601,585,True,True,True,True,False,False
8,55,1.5,3.0,1.132,1.073,0.948,16.4,18.6,82.6,13.3,1599,585,True,True,True,True,False,False
