EMA_Fast,SMA_Slow,SL_ATR_Mult,RR,PF_IS,PF_OOS,WF_ratio,DD_IS%,DD_OOS%,NetReturn_IS%,NetReturn_OOS%,Trades_IS,Trades_OOS,pasa_WF,pasa_DD,pasa_trades,pasa_OOS_pos,pasa_DD_real,VALIDADO
3,21,0.5,1.5,0.976,0.972,0.996,74.5,42.4,-54.9,-15.8,4419,1637,True,True,True,False,False,False
3,21,0.5,2.0,1.127,1.145,1.016,22.8,17.0,358.7,97.3,4404,1632,True,True,True,True,False,False
3,21,0.5,3.0,1.305,1.348,1.033,11.8,12.2,958.1,269.5,4385,1624,True,True,True,True,True,True
3,21,1.0,1.5,1.015,0.945,0.931,57.1,55.5,37.0,-27.1,4143,1552,True,True,True,False,False,False
3,21,1.0,2.0,1.137,1.084,0.953,35.8,31.6,463.4,50.3,4113,1544,True,True,True,True,False,False
3,21,1.0,3.0,1.295,1.216,0.939,16.6,20.1,1177.5,149.6,4093,1540,True,True,True,True,False,False
3,21,1.5,1.5,1.152,0.938,0.814,26.0,37.4,403.1,-25.1,3755,1435,False,True,True,False,False,False
3,21,1.5,2.0,1.257,1.044,0.831,14.7,28.7,858.9,20.3,3734,1429,False,True,True,True,False,False
3,21,1.5,3.0,1.339,1.116,0.833,12.7,25.4,1319.6,57.3,3721,1427,False,True,True,True,False,False
3,34,0.5,1.5,0.999,0.917,0.918,77.4,33.1,-0.8,-31.6,3284,1200,True,True,True,False,False,False
3,34,0.5,2.0,1.146,1.079,0.942,21.6,22.1,302.0,36.7,3269,1198,True,True,True,True,False,False
3,34,0.5,3.0,1.347,1.328,0.986,10.0,8.7,789.0,181.1,3252,1197,True,True,True,True,True,True
3,34,1.0,1.5,1.037,0.914,0.881,58.4,32.6,62.1,-30.7,3128,1157,True,True,True,False,False,False
3,34,1.0,2.0,1.178,1.028,0.873,24.4,26.7,412.0,11.2,3116,1149,True,True,True,True,False,False
3,34,1.0,3.0,1.309,1.165,0.89,14.3,22.2,893.4,75.5,3108,1146,True,True,True,True,False,False
3,34,1.5,1.5,1.1,0.947,0.861,32.3,25.9,146.1,-15.8,2910,1071,True,True,True,False,False,False
3,34,1.5,2.0,1.21,1.01,0.835,20.7,22.7,427.5,3.3,2902,1068,False,True,True,True,False,False
3,34,1.5,3.0,1.276,1.098,0.861,22.6,19.6,677.7,32.9,2895,1066,True,True,True,True,False,False
3,55,0.5,1.5,1.045,1.04,0.995,30.3,14.5,55.2,13.0,2442,914,True,True,True,True,True,True
3,55,0.5,2.0,1.176,1.207,1.026,14.8,10.2,270.2,76.1,2436,911,True,True,True,True,True,True
3,55,0.5,3.0,1.348,1.45,1.076,9.0,9.2,595.4,187.5,2425,908,True,True,True,True,True,True
3,55,1.0,1.5,1.008,1.014,1.006,46.7,19.3,10.5,4.2,2358,884,True,True,True,True,False,False
