EMA_Fast,SMA_Slow,PF_IS,PF_OOS,WF_ratio,DD_IS%,DD_OOS%,NetReturn_IS%,NetReturn_OOS%,Trades_IS,Trades_OOS,pasa_WF,pasa_DD,pasa_trades,pasa_OOS_pos,VALIDADO
3,21,1.238,1.042,0.842,21.0,22.9,693.2,20.0,3879,1415,False,True,True,True,False
3,34,1.21,1.162,0.96,20.5,13.8,388.8,56.8,2893,1070,True,True,True,True,True
3,55,1.218,1.085,0.891,13.4,14.6,283.5,23.6,2216,820,True,True,True,True,True
3,89,1.182,1.058,0.895,20.1,10.4,136.3,10.7,1664,589,True,True,True,True,True
3,144,1.036,0.944,0.911,24.0,13.3,14.6,-7.6,1240,473,True,True,True,False,False
5,21,1.119,1.056,0.944,23.9,19.0,245.5,22.8,3400,1243,True,True,True,True,True
5,34,1.135,1.184,1.043,23.2,11.0,174.0,57.1,2468,908,True,True,True,True,True
5,55,1.175,1.007,0.857,25.5,14.4,157.6,1.4,1877,691,True,True,True,True,True
5,89,1.035,1.106,1.069,23.1,6.9,15.6,15.1,1352,477,True,True,True,True,True
5,144,0.894,0.912,1.02,36.7,13.8,-30.7,-9.8,994,381,True,True,True,False,False
8,21,1.073,0.923,0.86,19.6,41.0,119.7,-24.2,3122,1114,True,False,True,False,False
8,34,1.09,1.203,1.104,29.1,7.8,81.3,55.1,2166,783,True,True,True,True,True
8,55,1.105,1.012,0.916,15.6,18.4,65.6,2.1,1601,585,True,True,True,True,True
8,89,0.995,1.026,1.031,22.9,11.7,-1.9,2.7,1131,389,True,True,True,True,True
8,144,0.922,0.96,1.041,23.4,12.8,-18.6,-3.6,824,320,True,True,True,False,False
13,21,1.039,0.967,0.931,32.8,26.3,60.2,-10.8,3091,1100,True,True,True,False,False
13,34,1.079,1.057,0.98,24.6,15.1,63.7,12.7,1973,720,True,True,True,True,True
13,55,1.142,0.986,0.863,13.4,23.4,71.4,-1.9,1357,500,True,True,True,False,False
13,89,1.03,1.095,1.063,17.7,9.4,8.7,8.7,970,344,True,True,True,True,True
13,144,0.772,0.844,1.093,42.8,17.9,-42.6,-11.6,707,254,True,True,True,False,False
21,34,1.101,0.935,0.849,22.2,27.2,86.9,-13.6,1970,736,False,True,True,False,False
21,55,1.126,0.957,0.85,16.1,17.9,56.1,-5.6,1240,457,True,True,True,False,False
21,89,0.947,0.886,0.936,19.8,13.5,-13.1,-9.4,840,297,True,True,True,False,False
21,144,0.856,0.838,0.979,24.2,13.6,-22.7,-10.5,587,218,True,True,True,False,False
