EMA_Fast,SMA_Slow,PF_IS,PF_OOS,WF_ratio,DD_IS%,DD_OOS%,NetReturn_IS%,NetReturn_OOS%,Trades_IS,Trades_OOS,pasa_WF,pasa_DD,pasa_trades,pasa_OOS_pos,VALIDADO
3,21,1.257,1.044,0.831,14.7,28.7,858.9,20.3,3734,1429,False,True,True,True,False
3,34,1.21,1.01,0.835,20.7,22.7,427.5,3.3,2902,1068,False,True,True,True,False
3,55,1.103,1.02,0.925,33.6,15.8,124.9,4.8,2194,834,True,True,True,True,True
3,89,0.95,0.905,0.953,42.0,21.5,-30.6,-17.2,1673,626,True,True,True,False,False
3,144,0.924,0.923,0.999,34.2,19.6,-29.2,-10.9,1194,487,True,True,True,False,False
5,21,1.167,0.98,0.84,30.7,25.4,421.8,-7.3,3337,1228,False,True,True,False,False
5,34,1.156,0.917,0.793,19.7,27.4,236.9,-21.5,2482,916,False,True,True,False,False
5,55,0.885,0.95,1.073,70.9,14.2,-69.0,-9.9,1853,689,True,True,True,False,False
5,89,0.862,0.843,0.978,59.5,24.2,-57.1,-22.5,1340,510,True,True,True,False,False
5,144,0.875,0.878,1.003,38.8,18.7,-36.3,-13.5,989,392,True,True,True,False,False
8,21,1.051,0.939,0.893,36.4,30.0,86.1,-19.8,3045,1114,True,True,True,False,False
8,34,1.057,0.87,0.823,40.4,32.1,59.3,-28.1,2167,795,False,True,True,False,False
8,55,0.91,0.997,1.096,56.3,17.5,-47.5,-0.6,1565,592,True,True,True,False,False
8,89,0.929,0.868,0.934,38.4,18.2,-26.6,-15.6,1104,422,True,True,True,False,False
8,144,0.986,0.749,0.76,20.1,23.4,-3.3,-22.0,801,317,False,True,True,False,False
13,21,1.089,0.958,0.88,15.2,25.1,165.3,-13.2,3028,1106,True,True,True,False,False
13,34,0.948,1.014,1.07,46.3,17.2,-35.9,2.9,1939,733,True,True,True,True,True
13,55,0.958,0.792,0.827,40.9,30.5,-17.9,-27.0,1366,515,False,True,True,False,False
13,89,0.92,0.712,0.774,33.0,31.0,-24.2,-30.0,941,373,False,True,True,False,False
13,144,0.834,0.681,0.817,32.1,26.8,-29.8,-24.6,654,273,False,True,True,False,False
21,34,0.917,1.015,1.107,62.0,14.3,-57.5,3.1,1962,728,True,True,True,True,True
21,55,0.935,0.735,0.786,41.4,37.2,-25.4,-31.1,1248,472,False,True,True,False,False
21,89,0.909,0.845,0.93,32.7,20.1,-24.2,-14.2,835,321,True,True,True,False,False
21,144,0.888,0.789,0.889,20.7,20.2,-18.2,-14.4,553,227,True,True,True,False,False
