Activo,FVG_TF,SL_ATR,N_trades,PF,DD%,NetPnL,Annual%,WR%,Periodo,Tiempo_s
AUDCAD,H1,1.5,3,4.04,1.0,455.0,107.17,66.7,2018-01-01 → 2025-12-31,104.8
AUDNZD,H1,1.5,5,2.99,2.0,607.0,46.38,60.0,2018-01-01 → 2025-12-31,55.2
GBPJPY,M30,2.0,3,0.99,2.0,-2.0,-1.1,33.3,2018-01-02 → 2026-03-27,373.0
UK100,M30,1.5,3,0.99,2.0,-2.0,-1.57,33.3,2024-03-11 → 2026-05-15,17.1
GBPUSD,H1,1.5,4,0.66,3.0,-157.0,-42.16,25.0,2018-01-01 → 2025-12-31,101.4
EURUSD,H1,1.5,9,0.25,7.7,-882.0,-81.79,11.1,2018-01-01 → 2025-12-31,131.7
EURGBP,H1,1.5,4,0.0,3.9,-590.0,-94.68,0.0,2018-01-01 → 2025-12-31,65.2
XAUUSD,M30,2.0,0,0.0,0.0,0.0,0.0,0.0,2025-11-20 → 2026-05-19,0.8
NAS100,M30,1.5,0,0.0,0.0,0.0,0.0,0.0,2020-02-10 → 2025-12-31,1.8
SP500,M30,1.5,0,0.0,0.0,0.0,0.0,0.0,2020-02-10 → 2025-12-31,1.7
US500,M30,1.5,0,0.0,0.0,0.0,0.0,0.0,2024-04-03 → 2026-05-15,21.2
